"If that'd guy's burn deck is like what I think it is than he is in for a blrude awakening!!! Leviathan motherfucker!!!"",1,0,1,0,1,0";;;;;;;;
238,0097dd5c29bf7a15,u r a tw@ fuck off u gay boy.U r smelly.Fuck ur mum poopie,1,0,1,0,1,1;;;;;;;;
268,00ab65775c601cf9,Atheism is full of bias shit,1,0,0,0,0,0;;;;;;;;
278,00afb4dec99a231f,Hey why you are spreading misconceptions and trying to spread false information to the people.You not even know who won the battle and who lost.you are the cheapest person on the earth.Bloody ignorant fool.Check sources before spreading rumors,1,0,0,0,0,0;;;;;;;;
"286,00b77cb600c897b4,""""""";;;;;;;;
;;;;;;;;
"And you are? Let me know when you've crawled out of their arses. '''''' Dick Laurent is dead """""",1,0,0,0,0,0";;;;;;;;
295,00be7dcac98dc95d,this user is such a worthless goddamn faggot fuck you faggot,1,0,1,0,1,0;;;;;;;;
"298,00c0b8ed05ed7833,""Fuck off";;;;;;;;
;;;;;;;;
"You are NOT an administrator. You DON'T have the authority to tell me what to do."",1,0,1,0,0,0";;;;;;;;
"300,00c1b6962307c80e,""Well you are ridiculous, in fact I suspect that you are Calton, please block me, I dont care...."",1,0,0,0,0,0";;;;;;;;
"312,00c59720428c985a,""""""";;;;;;;;
;;;;;;;;
 Fuck you ;;;;;;;;
;;;;;;;;
"  Fuck you award go fuck yourself   """""",1,0,1,0,1,0";;;;;;;;
"318,00cce3996a16c116,""Keep your eye on it, no one cares, OK? People can put what they want on here, and clean it up all you want but no one cares. God, you're so freakin' stupid!   Omnigan"",1,0,0,0,1,0";;;;;;;;
324,00d1d2f4f247d472,MATT HARDY IS SO FUCKY!!!''Italic text[[Media:Example.ogg]]'''''MATT HARDY IS SO FUCKY!!!,1,0,1,0,0,0;;;;;;;;
"330,00d429d337eaa672,""God is dead";;;;;;;;
"I don't mean to startle anyone but God is dead. We should not worry about him anymore. Just thought I would let everyone know. Well, goodbye and good luck with your newfound crisis of faith! 24.77.205.229"",1,0,0,0,0,0";;;;;;;;
"335,00d7a73eb033ee5e,""Have you seen the reference to their claim, you moron''?? This is not a source. It´s their POV. Once I have more time I will reduce your Pashtun nationalist POVs here on Wiki and give order to my uncles and cousins the execution of Pashtuns in the entire northern Afghanistan down to Gardez, Jalalabad, Lashkargah, Logar, Paghman, Laghman, Kunduz, Herat, Farah ... whereever immigrant descandants of violent Kuchis settled and took non-Pashtun lands away and traditional Tajik countries. 84.59.190.210"",1,0,0,0,0,0";;;;;;;;
"342,00db176890cd71bf,""Thank you ";;;;;;;;
"Hei, it's me, the William Hope fan. Guess what - I am back at a new IP, ready to vandalize everything regarding William Hope, and you can't do sh-t to stop me, maybe delay me, but no stopping me. So lets salute to some more William Hope lunacy by shoving his p-nis in my mouth."",1,0,0,0,0,0";;;;;;;;
"344,00dc0760994133ff,""Fuck you ";;;;;;;;
;;;;;;;;
"-User:The Bohemian Shinobis yeah, that's right, bitch! You are all pieces of shit!"",1,0,1,0,1,0";;;;;;;;
"392,00f59a92085d27ab,""Dear Mokele,";;;;;;;;
"You have no right to tell people to die in a fire. Just because that IP address is being used for vandilism does not mean you can talk to people like that. You are in fact a bigger loser than the person who you block."",1,0,0,0,1,0";;;;;;;;
"415,0109d5a4788850f7,""Thank you for your RACIST experimenting with the page Katherine Heigl on Wikipedia. Your test worked, and it has been reverted or removed. Please use the sandbox for any other tests you may want to do. Take a look at the welcome page to learn more about contributing to our encyclopedia. Now go FUCK YOURSELF YOU RACIST CANUCK ASSHOLE1  U HAVE NOTHING BETTER TO DO THAN CENSOR THE TRUTH U GODDAMN KKKKANUCK PIECE O TRASH///  DICKHEAD MORON MOTHERFUCKER111LOL  YOU CANUCKS R REAL RETARDS1  FUK OFF DICKWEED!  EDIT ANOTHER 1 OF MY EIDTS AND YOU'LL BE EXPEL FROM WIKI BY JIMBO YOU SOB DICKHEAD11 ";;;;;;;;
"SO WATCH IT MOFO PIECE OF GARBAGE RACIST MOFO ASSHOLE.  IM TRYINBG TO BE NICE HERE SO TAKE WHAT i SAY AS A COMPLIMENT!Yamla"",1,0,1,0,1,0";;;;;;;;
423,01113aece2e95a73,Be careful who you call a moron.,1,0,0,0,0,0;;;;;;;;
"429,01166f26ee280e56,""Gay ";;;;;;;;
;;;;;;;;
"The existence of CDVF is further proof that  is a sad twat. He is also very ugly, and has a willy for a face."",1,0,1,0,1,1";;;;;;;;
437,011d0c0a6c8e5765,I NEVER FUCKING MADE THIS MOTHER FUCKING ARTICLE I JUST FUCKING EDITED IT AND THAT WAS A FUCKING LONG TIME AGO FUCKING ASSHOLES! PISSING ME OFF @,1,0,1,0,1,0;;;;;;;;
"439,011e2c96cfa8a055,""Fucked with the wrong muchacho.  21:19, July 23, 2005 (UTC)"",1,0,1,0,0,0";;;;;;;;
"442,01208d2b76624130,""Hi ";;;;;;;;
;;;;;;;;
Im a fucking bitch.;;;;;;;;
;;;;;;;;
"50.180.208.181"",1,1,1,0,1,0";;;;;;;;
451,0125f95ac41f6cea,Add Mobile porn as additional WP:ALSO link,1,0,0,0,0,0;;;;;;;;
"476,013ad5246f4b953b,""F**K ALL RIDES AT WORLDS OF FUN  ";;;;;;;;
;;;;;;;;
I hate all rides at Worlds of Fun because they are sh_tty and boring. All ride operators at WOF should be fired sued and hanged. Burn all WOF coasters. Arrest all WOF park operators! Assassinate all WOF customers! I heard that a boy died on Timberwolf on August, 2014. That's stupid! Worlds of Fun should have nown better to built that sh_t ride. Worlds Of Fun cares about money and prophet moar than they're customers. Burn that sh_t park down! F**K YOU RIDES! WorldS Of Fun is dangerouser than GRround Zero and Area 51. ;;;;;;;;
;;;;;;;;
"Worlds of Fun should burn in Hell!"",1,0,1,0,1,0";;;;;;;;
"497,014c96f873db11ff,""""""""""""""Nazi filth"""""""" is impolite  04:27, 20 Jan 2004 (UTC)";;;;;;;;
;;;;;;;;
""",1,0,0,0,1,0
503,0152f55962c4f707,I don't care what you say here. I don't believe one sentence anymore.,1,0,0,0,0,0
519,015bf1bda7ab6b9c,I can tell you what the argument is about here newseventsguy. It's about YOUR retroactive reversion of a simple edit trying to include secondary independent verification of sedimentary nanodiamonds in Younger Dryas sediments by Bement and Madden et al., WITHOUT DISCUSSION a reference that I notice has NOT YET been included in the reference list still, after all this time. This is after you ADMIT that you are ignorant of the peer review literature and the controversy. Any attempt to do simple reference list edits on this page have been stomped by no less that five admittedly biased and ignorant editors. The honorable thing to do here would be to recuse yourself from editing the page, as I have. But I haven't seen that happening until now. Good luck with it, you've already made complete fools of yourselves."",1,0,0,0,0,0";;;;;;;;
520,015c99386399aa14,HELLO HOW DO I GET SOMEBODY TO FIX SHIT AROUND HERE?,1,0,1,0,0,0;;;;;;;;
"521,015d1b0bb4cc744d,""Dictionaries";;;;;;;;
;;;;;;;;
"How dare you call my contribution spam!!! I am a Kurd and I made a lsit of kurdish dictionaries. you bloody turkish nationalist and atoricity commiting bone breaking Nazi. watch out folk this slimy Turk is trying to censor the internet this is not undemocratic Turkey here, no prison cells in wikipedia you stupid Turk! And you buggers want membership to the EEC"",1,0,1,0,1,1";;;;;;;;
"527,01625cc84c6ef15b,""How do you know he is dead.  Its just his plane that crashed.  Jeezz, quit busting his nuts, folks."",0,0,1,0,0,0";;;;;;;;
"529,016309265c788dc1,""You are a know it all.....Jimbo! ";;;;;;;;
;;;;;;;;
"Why don't you get a life instead of sitting in front of your computer all day. The high priestess of knowledge, indeed!"",1,0,0,0,0,0";;;;;;;;
579,018663f910e0bfe6,What a motherfucking piece of crap those fuckheads for blocking us!,1,1,1,0,1,0;;;;;;;;
"582,018942e044417b74,""You sir are an imbecile, and a pervert."",1,0,0,0,1,0";;;;;;;;
"590,018e6f1e1b18723a,""""""";;;;;;;;
;;;;;;;;
 Another crap article ;;;;;;;;
"Parrots what promotion websites of capoeira schools say about myths of origin. And also that persecution thing. By the late 1800s, capoeira became a word for street brawling. Thus, authorities did not prohibit or sanction """"""""practice"""""""" of capoeira. In banning capoeira they were banning outright street brawls! It's why Mestre Bimba presented his art as Luta Regional Baiana. No decent carioca would be eager to sympathise with capoeira and malandrismo. I could attempt to alter the article but it's become such a mess by now.   """""",1,0,0,0,0,0";;;;;;;;
"600,0199d6af27b715f3,""I'm also a sock puppet of this account...SUPRISE!!";;;;;;;;
-sincerely,;;;;;;;;
"            The man that will track you down from the Internet and kill you"",1,0,0,1,0,0";;;;;;;;
602,019ab9a91e7fcdbe,Are you fucker mother fucker have nothing to do but block University computers. Go and suck cocks,1,0,1,0,1,0;;;;;;;;
"604,019c4ce48e6bfbab,""HELLO ";;;;;;;;
;;;;;;;;
"You disgrace to humanity. Stop wasting valuable Internet resources (your killing the fucking planet) and throw out your PC. PS it's like 3am what the fark kinda life do you have on Wikipedia 24/7. A VERY SAD AND LONELY ONE LOL. Life's too short find something better to do"",1,0,1,0,1,0";;;;;;;;
"608,01a004866d1dd4e0,""Your retarded bot ";;;;;;;;
;;;;;;;;
"Your bot is entirely automated, that is wrong.  You should not leave an unattented script just running through the site like that, it is idiotic of you to suppose that your scripting abilities are so perfect that they will only ever make proper edits.  Banning me doesn't help anything, dipshit, since I have as many IPs as I want."",1,0,0,0,1,0";;;;;;;;
610,01a04eaa73dc98ab,DISLIKE RACISM AND I CAN SEE THAT YOU HAS PROBLEMS WITH PEOPLE WHO SPEAKS SPANISH. YOU ARE AN ANTISEMITE TOO.,1,0,0,0,0,0;;;;;;;;
"632,01b1926bc5c1cc78,""IT WASNT VANDALISM, DICKHEAD"",1,0,1,0,1,0";;;;;;;;
"638,01b9aa85cc61c03f,""""""";;;;;;;;
;;;;;;;;
 You Suck ;;;;;;;;
;;;;;;;;
"If you don't undelete the page """"""""Barry Dejay"""""""" I will %$#@ you!"""""",1,0,1,0,1,0";;;;;;;;
"641,01bb5130bb7d6cba,""Curse ";;;;;;;;
Wikipedia has no respect for God. ;;;;;;;;
Wikipedia is full of lies or dangerously evil half truths.;;;;;;;;
Wikipedia has no respect for religion.;;;;;;;;
The following users of Wikipedia, namely: Redtigerxyz, Priyanath, Emperor Genius, Raj2004, Wikidas, Wikiveer and DaGizza have all committed blasphemy and sacrilage. Curse upon you that you will all perish.;;;;;;;;
I curse the following users of  Wikipedia, namely: Redtigerxyz, Priyanath, Emperor Genius, Raj2004, Wikidas, Wikiveer and DaGizza that you will all perish.;;;;;;;;
I curse that the Wikipedia will entirely perish.;;;;;;;;
I beg forgiveness from the Supreme God, Lord Vishnu for choosing the blasphemous Wikipedia website to write about the truth. ;;;;;;;;
A true devote of the Supreme Lord Vishnu has been hurt and my curse never goes in vain.;;;;;;;;
I will never again edit or read or go to the evil Wikipedia website, forever . ;;;;;;;;
Delete my user-id and all edits you evil Wikipedians.;;;;;;;;
Mr. DaGizza, you are a Male Chauvinist Pig and a misogynist to the core and you call yourself an administrator !!! Ridiculous !!!;;;;;;;;
Mr. DaGizza, you are a curse to your existance.;;;;;;;;
A man like you, who cannot respect women is a worthless in his existance. ;;;;;;;;
You Wikipedians are useless people. You are a burden to the civilized world. You are not even worth hatred.;;;;;;;;
You Wikipedians must be ignored.;;;;;;;;
" Curse"",1,0,0,0,1,0";;;;;;;;
"642,01bed0edcd09824a,""Hahaha, you dont actually believe this bullshit you are telling me right now? You are talking about the access to the country or representatives to the government, not Kim Jong Un himself. Those are two totally different things (although I could understand your stupidity, since North Koreans think that Kim Jong un is the governement, im just saying). Go Troll somewhere else kid."",1,0,1,0,0,0";;;;;;;;
"643,01bf0d4342ec4a2e,""Blocking Mardyks ";;;;;;;;
;;;;;;;;
"Guess what? Loser! Know what a cockblocker is? Hahahaha ~M~ 71.39.183.86"",1,0,0,0,0,0";;;;;;;;
655,01c7c962932560ee,Wikipedia administrators are defending a mass-murdering psychopath.,1,0,0,0,0,0;;;;;;;;
"662,01ccf4d20d31dfbe,""Hebrew Name of Lydia ";;;;;;;;
Appologies to Til Eulenspiegel I thought you were one of the idiots which your user page indicates you actually do well struggling against. ;;;;;;;;
Genesis 10:יג  וּמִצְרַיִם יָלַד אֶת-לוּדִים וְאֶת-עֲנָמִים, וְאֶת-לְהָבִיםוְאֶת-נַפְתֻּחִים.TAB13 And Mizraim begot Ludim, and Anamim, and Lehabim, and Naphtuhim,;;;;;;;;
You see Ludim are from Mitzraim not to be confused with Lud son of Shem (in the far east).;;;;;;;;
"Best wishes and keep up the good work.81.103.121.144"",0,0,0,0,1,0";;;;;;;;
"665,01ce75675a501e50,""""""\";;;;;;;;
"You wasted your own time! Take this advice with you: Pull your head out of your ass! Be real and don't spend the rest of your life sucking ass. Have a nice life! Goodbye!  (mailbox) """""",1,0,1,0,1,0";;;;;;;;
"679,01d57127c5308743,""A few things to get straight... ";;;;;;;;
;;;;;;;;
Firstly, I do not like you. You look like a smug little prick to me.;;;;;;;;
Secondly, I do not like your ethnicity. Not one little bit. I'd like you to explain yourself on that count.;;;;;;;;
Thirdly, your dog is a bit of a bender. ;;;;;;;;
;;;;;;;;
"94.1.96.85"",1,0,0,0,0,0";;;;;;;;
687,01dbc875f2d85f66,ok stop being lame. seriously. go watch pokemon.,1,0,0,0,0,0;;;;;;;;
"698,01e3882f09660e23,""I did not intend to be disruptive, I was genuineley upset by the word constantly. I only tried to make it look like an april fool joke after you explanation made me look like an uptight weirdo"",1,0,0,0,0,0";;;;;;;;
"700,01e7a01d501d578a,""Matt, when mattsanchez.info goes live on Monday, among other things you'll see an invitation to be interviewed. This time you'll have nowhere to hide. Let's see who's a victim and who's a coward."",1,0,0,0,0,0";;;;;;;;
718,01f0f77e6e58b347,Do not help the jew Schnider. Final warning.,1,0,0,0,0,0;;;;;;;;
722,01f304185a18cb7b,Don't peddle your crap please.  Hate to see another article get disputed for neutrality due to you.,1,0,0,0,0,0;;;;;;;;
"726,01f467f73fb47c3e,""You really are a rebel guy, rebelguys! ";;;;;;;;
;;;;;;;;
"Time to get oral from a  prostitute'''!"",1,0,0,0,1,0";;;;;;;;
"730,01fa2f1880fecd30,""""""";;;;;;;;
"Of course a true Dub will say 'depaaarted' or, more likely """"""""f**in' gone"""""""".   """""",1,0,0,0,0,0";;;;;;;;
"732,01fb5b0525dd9b05,""Muslim Men Harassment of MM page ";;;;;;;;
;;;;;;;;
It is amazing how three muslim men jumped all over this page, right after I added a number of things (30 minutes after - all three men, all muslims), and cleaned it up.  Does a woman working for human rights in Pakistan really get under your skin so badly?  Wow.;;;;;;;;
;;;;;;;;
"So sweetie, if you are so bloody busy, why not get busy, and stop harassing the women?  Are you *that* threatened?"",1,0,0,0,0,0";;;;;;;;
"737,01fd0de4ca85352f,""Tried to be productive (look at my contributions) but hit my head against a wall of spoiled greek children (or probably under pay from Greek Government) that purposely keep vandalizing the Albania related pages and keep iritating the albanian editors until they explode and get banned. As a historian I blush with what I find quoted as reliable information on the wikipedia pages and the quality  of the editors and sources. Time to move to the French pages (a lot of readers there), still 5 more languages to go. Till next time.Wikipedia sucks! ."",1,0,0,0,0,0";;;;;;;;
"746,020316a0de9e0406,""""""You know, I was thinking...";;;;;;;;
;;;;;;;;
Nobody really attacked me before I revealed my age here.  After I announced that I was 14, I was subject to a constant storm of harassment and abuse.;;;;;;;;
;;;;;;;;
The same thing goes for when I was on The Sandbox when I was 11.  Before people knew my age, they didn't care.  After I told them my age, they hated me.;;;;;;;;
;;;;;;;;
"It's just so amusing how the idiot Soapboxers think of teenagers as being responsible for the """"""""decline"""""""" of The Soapbox (like it was ever any good to begin with).  This is funny, because the adults are the dumbest people here.  Mauricio, Chuppah, Redneckgirl, Pinky, Scooby, GG, ForeverLostTinkerbell, greenrabbit, StarRocketsInFlight, Bree-Robinson, enigma-72, CocaineNightmares, TokyoDome, Chad_Ocho-Cinco, Steve Lake...";;;;;;;;
;;;;;;;;
...all adults.;;;;;;;;
;;;;;;;;
The teenage posters here are typically the smartest ones.  Let's see... G-Dawg, Head_Banging_Brunette, ClassicAge, Metropolis (even though he's a bipolar weirdo), ChrisScript, just to name a few.;;;;;;;;
;;;;;;;;
"All I ever see adults posting is """"""""rate my poo!!1!"""""""", """"""""my ballz smell funny"""""""", """"""""whoz hawter: me or ur mom???//?/?"""""""", """"""""i like to rape little girls"""""""", and """"""""HEY GUYZ LOOK AT ME IM AN ATTENTION WHORE!!!!11!!1!""""""""  The adult posters here are immature, moronic, savage bullies with the mental capacity of a retarded 4-year-old.";;;;;;;;
;;;;;;;;
Whereas, most of the teenagers here are thoughtful, intelligent, mature, and often profound.  But they're subject to constant schoolyard bullying by the idiot adult posters who think they're somehow superior because they were born (and dropped on their head) earlier.;;;;;;;;
;;;;;;;;
Soapbox logic never fails to amuse me...;;;;;;;;
""",1,1,1,0,0,0
756,0207005a6576eafc,Here's an idea ";;;;;;;;
;;;;;;;;
"Go fuck yourself, cumshitter."",1,1,1,0,1,0";;;;;;;;
